Date,Maricopa County,Pima County,Pinal County,Yavapai County,Yuma County,Mohave County,Coconino County,Cochise County,Navajo County,Apache County,Gila County,Santa Cruz County,Graham County,La Paz County,Greenlee County
1/31/2000,145884.6161,121453.2219,134413.1574,137731.7724,,94178.77898,153125.6928,,83858.73149,,76678.40045,67944.37778,85679.56584,,53759.57047
2/29/2000,146187.0472,121624.6988,134736.8223,137826.4332,,94211.6031,153273.8293,,84010.25244,,76696.01144,68052.30282,85619.70209,,53856.80312
3/31/2000,146581.1197,121816.3213,134971.8319,137745.7383,,94376.1784,153481.8082,,84399.74023,,76779.44664,68107.85847,85646.82615,,53751.82277
4/30/2000,147387.7664,122131.3638,135407.5952,137734.925,,94745.268,153971.3576,,85095.25558,,77045.85676,68354.9633,85711.91613,,53699.45064
5/31/2000,148275.4295,122529.3858,135602.5243,137892.575,,95204.51984,154626.8644,,85831.92013,,77482.9263,68727.04511,85904.28266,,53729.64646
6/30/2000,149034.6043,122976.6708,135811.1048,138392.6454,,95627.54636,155313.4393,,86409.85134,,77969.23396,69230.29876,86212.03425,,53796.59646
7/31/2000,149796.8882,123502.1138,136031.996,139130.5484,,95951.30747,156099.4517,,86885.82444,,78404.96833,69565.97259,86637.45022,,53940.92396
8/31/2000,150507.1746,124035.6406,136301.186,140161.1839,,96337.43148,156624.8148,,87483.98266,,78792.92817,69890.95407,87078.11867,,54046.76917
9/30/2000,151303.4096,124583.9529,136773.4848,141094.6959,,96795.10085,157233.9384,,88273.29857,,79141.38372,70132.94655,87520.38914,,54380.88278
10/31/2000,152043.238,125190.7906,137314.2402,141921.8509,,97275.41205,157839.0097,,89131.40169,,79436.92116,70481.6219,87933.01088,,54749.1335
11/30/2000,152792.0488,125706.9738,137922.1291,142378.644,,97676.85339,158698.5966,,89982.61118,,79740.07126,70771.62954,88393.6765,,55062.68349
12/31/2000,153547.8671,126181.8072,138363.9894,142757.9258,,97938.74927,159388.708,,90757.7668,,79921.79877,71182.75622,88804.40135,,55325.58582
1/31/2001,154263.9177,126589.306,138813.1001,143106.3673,,98119.54187,159858.7348,,91285.20798,,80272.53282,71769.53775,89317.12083,,55804.73562
2/28/2001,154953.2503,127017.1564,139191.4573,143523.4816,,98301.75183,160357.997,,91639.50825,,80588.43088,72475.76691,89842.91635,,56238.44972
3/31/2001,155627.752,127413.2465,139485.6229,144250.0691,,98601.26842,161060.323,,91823.36471,,81111.17808,73130.07309,90415.56303,,56660.80847
4/30/2001,156325.1792,127865.3731,139924.2926,145153.1092,,99070.04531,161935.3722,,92102.79366,,81614.18767,73616.52081,90877.71802,,56639.03709
